,revenue,net_income,total_assets,total_liabilities,equity,ocf,capex,net_cash_flow,FCF
2022-03-31,116444.0,-3844.0,410767.0,276766.0,134001.0,-2790.0,-13742.0,122.0,-16532.0
2022-06-30,121234.0,-2028.0,419728.0,288326.0,131402.0,8965.0,-14098.0,1261.0,-5133.0
2022-09-30,127101.0,2872.0,428362.0,290873.0,137489.0,11404.0,-15041.0,-2522.0,-3637.0
2022-12-31,149204.0,278.0,462675.0,316632.0,146043.0,29173.0,-15440.0,19075.0,13733.0
2023-03-31,127358.0,3172.0,464378.0,309852.0,154526.0,4788.0,-13070.0,-4519.0,-8282.0
2023-06-30,134383.0,6750.0,477607.0,309005.0,168602.0,16476.0,-10412.0,333.0,6064.0
2023-09-30,143083.0,9879.0,486883.0,303910.0,182973.0,21217.0,-11298.0,14.0,9919.0
2023-12-31,169961.0,10624.0,527854.0,325979.0,201875.0,42465.0,-13353.0,23809.0,29112.0
2024-03-31,143313.0,10431.0,530969.0,314308.0,216661.0,18899.0,-13935.0,-558.0,4964.0
2024-06-30,147977.0,13485.0,554818.0,318371.0,236447.0,25281.0,-16393.0,-1659.0,8888.0
2024-09-30,158877.0,15328.0,584626.0,325475.0,259151.0,25971.0,-21278.0,7004.0,4693.0
2024-12-31,187792.0,20004.0,624894.0,338924.0,285970.0,45636.0,-26052.0,3635.0,19584.0
2025-03-31,155667.0,17127.0,643256.0,337389.0,305867.0,17015.0,-24255.0,-12419.0,-7240.0
2025-06-30,167702.0,18164.0,682170.0,348395.0,333775.0,32515.0,-31368.0,-8440.0,1147.0
2025-09-30,180169.0,21187.0,727921.0,358290.0,369631.0,35525.0,-34228.0,9011.0,1297.0
